[16:24:00:773] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.authRealm(ShiroConfig.java:30) - ====ShiroRealm注册完成=====
[16:24:05:811] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.securityManager(ShiroConfig.java:44) - ====securityManager注册完成====
[16:24:05:861] [INFO] - com.wysoft.https_auth.shiro.ShiroConfig.shiroFilter(ShiroConfig.java:124) - ====shiroFilterFactoryBean注册完成====
[16:24:07:219] [INFO] - com.wysoft.https_base.configuration.ZookeeperConfig.zkClient(ZookeeperConfig.java:37) - 【初始化ZooKeeper连接状态....】=CONNECTED
[16:24:09:698] [INFO] - com.wysoft.https_base.listener.ApplicationListenerPostProcessor.onContextRefreshedEvent(ApplicationListenerPostProcessor.java:52) - 容器加载完成，执行后处理方法...
[16:24:09:712] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[aiService]
[16:24:09:751] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/aiService/speechSynthesis:https://139.155.88.126:8443/httpServiceEntry]
[16:24:09:752] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[erpService]
[16:24:09:756] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/erpService/placeOrder:https://139.155.88.126:8443/httpServiceEntry]
[16:24:09:757] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:131) - 注册分布式服务:[userAuth]
[16:24:09:762] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/register:https://139.155.88.126:8443/httpServiceEntry]
[16:24:09:765] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/shiroLogin:https://139.155.88.126:8443/httpServiceEntry]
[16:24:09:769] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/setAuthLogin:https://139.155.88.126:8443/httpServiceEntry]
[16:24:09:772] [INFO] - com.wysoft.https_base.annotation.RemoteServiceAnnotationProcessor.registerService(RemoteServiceAnnotationProcessor.java:153) - 已创建服务节点[/remoteServices/userAuth/doAction:https://139.155.88.126:8443/httpServiceEntry]
